Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population,Renewable Vehicles,Non-Renewable Vehicles
2018,Minnesota,0,0.3,13,1,6.7,23.3,0,3,12,1,37,21,37,5608.762,741400,4217500
2018,Mississippi,0,0.1,7,1,8.4,20.0,0,1,7,1,47,18,47,2982.879,356700,2215600
2018,Missouri,0,0.3,15,4,8.5,20.1,0,3,14,6,47,18,47,6125.986,850800,4851200
2018,Montana,0,0.2,2,1,6.9,16.3,0,2,2,1,38,15,38,1061.818,134600,818600
2018,Nebraska,0,0.3,0,1,8.7,18.8,0,3,0,1,48,17,48,1925.512,265000,1558600
2018,Nevada,0,0.4,27,1,7.6,21.6,0,5,25,1,42,20,42,3030.725,217100,2096300
2018,New Hampshire,0,0.2,4,1,4.7,9.4,0,2,4,1,26,9,26,1355.064,148600,1179200
2018,New Jersey,0,0.3,18,1,8.7,0.0,0,3,17,1,48,0,48,8891.73,653500,6443100
2018,New Mexico,0,0.2,10,1,6.1,27.8,0,2,9,1,34,25,34,2093.754,211300,1578700
2018,New York,0,0.3,19,1,6.6,0.0,0,3,18,1,37,0,37,19544.098,1216900,10151900
2018,North Carolina,0,0.3,10,2,7.8,13.7,0,3,9,3,43,12,43,10391.358,924300,7435100
2018,North Dakota,0,0.2,5,2,5.7,11.4,0,2,5,3,32,10,32,760.062,137300,615000
2018,Ohio,0,0.2,16,1,9.4,14.2,0,2,15,1,52,13,52,11680.892,1193900,8946700
2018,Oklahoma,0,0.2,13,1,8.4,19.6,0,2,12,1,47,18,47,3943.488,661900,3382500
2018,Oregon,0,0.3,16,1,0.0,16.6,0,3,15,1,0,15,15,4183.538,329100,3415400
2018,Pennsylvania,0,0.3,9,2,9.1,14.1,0,3,8,3,51,13,51,12809.107,1025600,8888000
2018,Rhode Island,0,0.4,17,0,6.9,0.0,0,5,16,0,38,0,38,1059.338,69800,805200
2018,South Carolina,0,0.1,9,0,6.9,14.3,0,1,8,0,38,13,38,5091.702,510200,4018500
2018,South Dakota,0,0.2,6,1,5.4,16.9,0,2,6,1,30,15,30,879.386,142100,751100
2018,Tennessee,0,0.3,12,4,7.1,16.6,0,3,11,6,39,15,39,6778.18,633600,5223500
2018,Texas,0,0.3,11,3,8.7,0.0,0,3,10,4,48,0,48,28624.564,3272800,19473100
2018,Utah,0,0.3,11,0,7.5,11.3,0,3,10,0,42,10,42,3155.153,264000,2394800
2018,Vermont,0,0.2,10,0,5.7,0.0,0,2,9,0,32,0,32,624.802,73200,532700
2018,Virginia,0,0.3,11,1,7.2,0.0,0,3,10,1,40,0,40,8510.92,728400,6895200
2018,Washington,0,0.2,16,3,8.5,20.0,0,2,15,4,47,18,47,7526.793,609100,5903400
2018,West Virginia,0,0.2,0,4,8.5,13.3,0,2,0,6,47,12,47,1805.953,183700,1311500
2018,Wisconsin,0,0.2,12,1,7.1,14.1,0,2,11,1,39,13,39,5809.319,775400,4678300
2018,Wyoming,0,0.1,6,1,4.1,11.7,0,1,6,1,23,11,23,579.054,76000,523000
2019,Alabama,0,0.3,18,3,9.0,21.9,0,3,17,4,50,20,50,4907.965,581400,3951600
2019,Alaska,0,0.5,14,8,6.9,14.7,0,6,13,11,38,13,38,733.603,70900,513800
2019,Arizona,0,0.3,20,5,6.5,28.1,0,3,19,7,36,26,36,7291.843,708700,5395700
2019,Arkansas,0,0.4,13,1,0.0,0.0,0,5,12,1,0,0,12,3020.985,406000,2164200
2019,California,0,0.3,13,1,7.1,24.0,0,3,12,1,39,22,39,39437.61,3449900,29995900
2019,Colorado,0,0.3,14,2,6.8,15.9,0,3,13,3,38,14,38,5758.486,568600,4594600
2019,Connecticut,0,0.3,16,0,6.8,13.1,0,3,15,0,38,12,38,3566.022,256800,2685900
2019,Delaware,0,0.2,16,1,7.2,0.0,0,2,15,1,40,0,40,976.668,101300,785800
2019,Florida,0,0.3,11,1,7.0,16.7,0,3,10,1,39,15,39,21492.056,1782600,15135200
2019,Georgia,0,0.4,20,2,9.1,14.9,0,5,19,3,51,14,51,10628.02,1019600,7790200
2019,Hawaii,0,0.2,7,2,2.5,11.8,0,2,7,3,14,11,14,1415.615,93100,988800
2019,Idaho,0,0.4,16,5,3.9,16.6,0,5,15,7,22,15,22,1789.06,173600,1600700
2019,Illinois,0,0.2,18,2,8.9,28.3,0,2,17,3,49,26,49,12667.017,1361800,8874900
2019,Indiana,0,0.3,15,2,9.3,18.1,0,3,14,3,51,16,51,6731.01,823800,5063800
2019,Iowa,0,0.2,6,1,8.2,34.5,0,2,6,1,46,31,46,3159.596,486000,2518200
2019,Kansas,0,0.2,7,1,7.9,17.0,0,2,7,1,44,15,44,2912.635,349600,2192900
2019,Kentucky,0,0.2,11,1,8.5,18.2,0,2,10,1,47,17,47,4472.345,483700,3439000
2019,Louisiana,0,0.2,10,2,8.2,16.3,0,2,9,3,46,15,46,4658.285,576600,3192700
2019,Maine,0,0.2,7,0,5.2,14.4,0,2,7,0,29,13,29,1345.77,165400,1034500
2019,Maryland,0,0.2,13,2,6.8,0.0,0,2,12,3,38,0,38,6054.954,524500,4175900
2019,Massachusetts,0,0.2,13,0,6.7,0.0,0,2,12,0,37,0,37,6894.883,539500,4685600
2019,Michigan,0,0.4,15,3,8.8,19.6,0,5,14,4,49,18,49,9984.795,1459300,7011300
2019,Minnesota,0,0.3,12,1,6.3,19.2,0,3,11,1,35,17,35,5640.053,795500,4329500
2019,Mississippi,0,0.1,7,1,8.3,18.9,0,1,7,1,46,17,46,2978.227,382000,2261900
2019,Missouri,0,0.3,14,8,8.3,19.8,0,3,13,11,46,18,46,6140.475,860600,4810800
2019,Montana,0,0.2,2,1,5.8,14.5,0,2,2,1,32,13,32,1070.123,140700,808700
2019,Nebraska,0,0.3,0,1,7.3,16.7,0,3,0,1,41,15,41,1932.571,277500,1563500
2019,Nevada,0,0.3,21,1,5.3,18.6,0,3,20,1,29,17,29,3090.771,232900,2133100
2019,New Hampshire,0,0.1,4,1,4.6,11.4,0,1,4,1,26,10,26,1360.783,159100,1191800
2019,New Jersey,0,0.3,19,1,8.4,0.0,0,3,18,1,47,0,47,8891.258,692900,6495000
2019,New Mexico,0,0.2,10,0,5.8,25.4,0,2,9,0,32,23,32,2099.634,224400,1594700
2019,New York,0,0.2,17,1,5.8,0.0,0,2,16,1,32,0,32,19463.131,1261600,10121400
2019,North Carolina,0,0.3,11,1,7.8,12.7,0,3,10,1,43,12,43,10501.384,992700,7553700
2019,North Dakota,0,0.2,5,2,4.6,8.4,0,2,5,3,26,8,26,763.724,140200,620600
2019,Ohio,0,0.2,15,1,9.3,14.7,0,2,14,1,51,13,51,11696.507,1260700,8967300
2019,Oklahoma,0,0.2,11,1,8.1,19.2,0,2,10,1,45,17,45,3960.676,655000,3415100
2019,Oregon,0,0.2,13,1,10.6,17.4,0,2,12,1,54,16,54,4216.116,353600,3369300
2019,Pennsylvania,0,0.3,10,2,8.2,15.4,0,3,9,3,46,14,46,12798.883,1081300,8910900
2019,Rhode Island,0,0.4,13,0,5.4,0.0,0,5,12,0,30,0,30,1058.158,73200,805100
2019,South Carolina,0,0.1,9,0,7.3,14.9,0,1,8,0,41,14,41,5157.702,545900,4073600
2019,South Dakota,0,0.2,5,1,4.5,15.3,0,2,5,1,25,14,25,887.127,144300,746400
2019,Tennessee,0,0.2,12,4,7.2,16.2,0,2,11,6,40,15,40,6830.325,685500,5333600
2019,Texas,0,0.3,11,3,8.6,0.0,0,3,10,4,48,0,48,28986.794,3501800,20364100
2019,Utah,0,0.3,13,1,5.9,4.4,0,3,12,1,33,4,33,3203.383,287800,2474400
2019,Vermont,0,0.2,10,0,5.6,0.0,0,2,9,0,31,0,31,624.046,76100,528400
2019,Virginia,0,0.3,12,2,8.0,0.0,0,3,11,3,44,0,44,8556.642,779000,6928700
2019,Washington,0,0.2,20,3,7.0,17.1,0,2,19,4,39,16,39,7614.024,658700,5920800
2019,West Virginia,0,0.2,0,4,8.1,14.2,0,2,0,6,45,13,45,1795.263,189200,1290600
2019,Wisconsin,0,0.2,12,1,6.8,13.1,0,2,11,1,38,12,38,5824.581,819900,4688600
2019,Wyoming,0,0.1,5,1,2.7,9.6,0,1,5,1,15,9,15,580.116,79700,528200
2020,Alabama,0,0.3,15,1,8.5,20.7,0,3,14,1,47,19,47,5031.864,608900,4017600
2020,Alaska,0,0.4,0,7,5.1,10.5,0,5,0,10,28,10,28,732.964,71500,500500
2020,Arizona,0,0.4,19,3,9.3,35.7,0,5,18,4,51,33,51,7186.683,740200,5428200
2020,Arkansas,0,0.3,12,1,0.0,0.0,0,3,11,1,0,0,11,3014.348,417600,2204800
2020,California,0,0.3,14,1,13.7,34.5,0,3,13,1,60,31,60,39503.2,3664600,30468600
2020,Colorado,0,0.3,12,1,8.1,12.8,0,3,11,1,45,12,45,5785.219,579000,4513000
2020,Connecticut,0,0.2,15,0,7.0,13.8,0,2,14,0,39,13,39,3577.586,264100,2630600
2020,Delaware,0,0.2,15,1,6.9,0.0,0,2,14,1,38,0,38,991.862,107900,798500
2020,Florida,0,0.3,10,1,7.5,17.9,0,3,9,1,42,16,42,21591.299,1842100,15359200
2020,Georgia,0,0.5,18,2,8.3,14.0,0,6,17,3,46,13,46,10732.39,1061300,7917900
2020,Hawaii,0,0.2,5,3,2.6,11.2,0,2,5,4,14,10,14,1451.181,93000,966300
2020,Idaho,0,0.4,17,5,2.7,20.8,0,5,16,7,15,19,19,1849.339,185200,1636400
2020,Illinois,0,0.2,17,2,8.5,34.4,0,2,16,3,47,31,47,12790.357,1384300,8747200
2020,Indiana,0,0.3,12,2,8.6,18.4,0,3,11,3,48,17,48,6789.098,862000,5100400
2020,Iowa,0,0.2,6,1,8.3,36.5,0,2,6,1,46,33,46,3190.904,501200,2527500
2020,Kansas,0,0.2,7,1,7.5,21.5,0,2,7,1,42,20,42,2938.124,364200,2189700
2020,Kentucky,0,0.2,10,1,7.6,17.6,0,2,9,1,42,16,42,4508.155,504800,3415000
2020,Louisiana,0,0.3,9,2,6.6,16.9,0,3,8,3,37,15,37,4652.022,581400,3204000
2020,Maine,0,0.2,9,0,4.9,13.1,0,2,8,0,27,12,27,1364.517,175600,1036300
2020,Maryland,0,0.2,13,1,6.1,0.0,0,2,12,1,34,0,34,6173.689,546200,4247700
2020,Massachusetts,0,0.2,12,0,6.7,0.0,0,2,11,0,37,0,37,6997.713,578100,4772500
