Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population
2005,Alaska,0,1.0,0,0,0.0,0.0,0,11,0,0,0,0,11,666.946
2005,Arizona,0,0.6,23,8,0.0,47.2,0,7,22,11,0,43,43,5839.077
2005,Arkansas,0,0.4,21,3,0.0,0.0,0,5,20,4,0,0,20,2781.097
2005,California,0,0.5,20,3,0.0,20.5,0,6,19,4,0,19,19,35827.943
2005,Colorado,0,0.6,19,5,0.0,28.1,0,7,18,7,0,26,26,4631.888
2005,Connecticut,0,0.8,26,7,0.0,0.0,0,9,25,10,0,0,25,3506.956
2005,Delaware,0,0.5,25,12,0.0,22.1,0,6,24,17,0,20,24,845.15
2005,District Of Columbia,0,0.9,28,8,0.0,0.0,0,10,26,11,0,0,26,
2005,Florida,0,0.5,14,5,0.0,21.6,0,6,13,7,0,20,20,17842.038
2005,Georgia,0,0.5,17,7,0.0,24.6,0,6,16,10,0,22,22,8925.922
2005,Hawaii,0,0.5,7,22,0.0,0.0,0,6,7,31,0,0,31,1292.729
2005,Idaho,0,0.9,11,7,0.0,21.2,0,10,10,10,0,19,19,1428.241
2005,Illinois,0,0.6,27,9,0.0,29.3,0,7,25,13,0,27,27,12609.903
2005,Indiana,0,0.6,18,12,0.0,28.3,0,7,17,17,0,26,26,6278.616
2005,Iowa,0,0.3,12,7,0.0,23.0,0,3,11,10,0,21,21,2964.454
2005,Kansas,0,0.5,14,2,0.0,19.8,0,6,13,3,0,18,18,2745.299
2005,Kentucky,0,0.5,17,10,0.0,24.1,0,6,16,14,0,22,22,4182.742
2005,Louisiana,0,0.6,15,8,0.0,0.0,0,7,14,11,0,0,14,4576.628
2005,Maine,0,0.2,12,4,0.0,14.5,0,2,11,6,0,13,13,1318.787
2005,Maryland,0,0.4,22,12,0.0,22.0,0,5,21,17,0,20,21,5592.379
2005,Massachusetts,0,0.4,16,7,0.0,0.0,0,5,15,10,0,0,15,6403.29
